Origem,Destino,Distancia
ACRELANDIA,PRESIDENTE FIGUEIREDO,1553.9979196424274
ACRELANDIA,RIO PRETO DA EVA,1513.8997860320644
ACRELANDIA,SANTA ISABEL DO RIO NEGRO,1439.9068525299522
ACRELANDIA,SANTO ANTONIO DO ICA,1021.0613950593727
ACRELANDIA,SAO GABRIEL DA CACHOEIRA,1454.903151538348
ACRELANDIA,SAO PAULO DE OLIVENCA,1012.6360459808802
ACRELANDIA,SAO SEBASTIAO DO UATUMA,1729.1340562525754
ACRELANDIA,SILVES,1666.1244975145362
ACRELANDIA,TABATINGA,951.5359877608082
ACRELANDIA,TAPAUA,836.8256224411415
ACRELANDIA,TEFE,1023.6652613143838
ACRELANDIA,TONANTINS,1052.2653363290854
ACRELANDIA,UARINI,1059.058873814545
ACRELANDIA,URUCARA,1745.7019677131314
ACRELANDIA,URUCURITUBA,1643.7842117893133
ACRELANDIA,AMAPA,2993.4395014893803
ACRELANDIA,CALCOENE,3015.6954704936497
ACRELANDIA,CUTIAS,2898.7170771727147
ACRELANDIA,FERREIRA GOMES,2840.669678034181
ACRELANDIA,ITAUBAL,2876.018374652307
ACRELANDIA,LARANJAL DO JARI,2576.7364186159534
ACRELANDIA,MACAPA,2787.5591812645443
ACRELANDIA,MAZAGAO,2748.414476026005
ACRELANDIA,OIAPOQUE,3044.734493715135
ACRELANDIA,PEDRA BRANCA DO AMAPARI,2740.5829361105716
ACRELANDIA,PORTO GRANDE,2800.323974329256
ACRELANDIA,PRACUUBA,2965.7870066277414
ACRELANDIA,SANTANA,2765.9143591853176
ACRELANDIA,SERRA DO NAVIO,2743.8916648325007
ACRELANDIA,TARTARUGALZINHO,2930.062723785398
ACRELANDIA,VITORIA DO JARI,2544.6479854692993
ACRELANDIA,ABAIRA,3743.125943336123
ACRELANDIA,ABARE,4116.375880916481
ACRELANDIA,ACAJUTIBA,4264.99790340695
ACRELANDIA,ADUSTINA,4252.186891753019
ACRELANDIA,AGUA FRIA,4155.408134169053
ACRELANDIA,AIQUARA,4014.4867390184195
ACRELANDIA,ALAGOINHAS,4207.948250747656
ACRELANDIA,ALCOBACA,4195.090362262658
ACRELANDIA,ALMADINA,4060.79228097076
ACRELANDIA,AMARGOSA,4040.663900495545
ACRELANDIA,AMELIA RODRIGUES,4159.576143924909
ACRELANDIA,AMERICA DOURADA,3761.510732838479
